寿命,主要物质组成,坝体长度,0,年平均流量,0.1
-1.6989700043360187,1.0,2.113943352306837,4.227886704613674,1.0413926851582251,2.0827853703164503
-1.3979400086720375,1.0,2.568201724066995,5.13640344813399,1.478999131673357,2.9579982633467137
-1.3979400086720375,1.0,2.0,4.0,1.4771212547196624,2.9542425094393248
-1.0969100130080565,2.0,2.4771212547196626,4.954242509439325,2.2041199826559246,4.408239965311849
-1.0969100130080565,2.0,2.4771212547196626,4.954242509439325,2.2041199826559246,4.408239965311849
-1.0,1.0,2.1760912590556813,4.352182518111363,1.8388490907372552,3.6776981814745104
-0.6989700043360187,0.0,2.0791812460476247,4.158362492095249,3.198931869932209,6.397863739864418
-0.6989700043360187,1.0,2.113943352306837,4.227886704613674,1.4771212547196624,2.9542425094393248
-0.5391021572434522,1.0,2.0,4.0,1.3010299956639813,2.6020599913279625
-0.3979400086720376,1.0,2.3010299956639813,4.6020599913279625,0.9030899869919435,1.806179973983887
-0.3979400086720376,0.0,2.3010299956639813,4.6020599913279625,0.8450980400142568,1.6901960800285136
-0.3979400086720376,1.0,2.0791812460476247,4.158362492095249,0.9030899869919435,1.806179973983887
-0.1549019599857432,1.0,2.3010299956639813,4.6020599913279625,1.7481880270062005,3.496376054012401
0.0,1.0,2.3979400086720375,4.795880017344075,0.3010299956639812,0.6020599913279624
0.0,1.0,2.3010299956639813,4.6020599913279625,0.9542425094393249,1.9084850188786497
0.17609125905568124,1.0,2.5440680443502757,5.088136088700551,0.0,0.0
0.414973347970818,2.0,2.7596678446896306,5.519335689379261,3.2695129442179165,6.539025888435833
0.47712125471966244,1.0,2.3979400086720375,4.795880017344075,2.5888317255942073,5.1776634511884145
0.47712125471966244,1.0,2.81424759573192,5.62849519146384,3.5873741720730656,7.174748344146131
0.47712125471966244,1.0,2.929418925714293,5.858837851428586,3.5873741720730656,7.174748344146131
0.6989700043360189,1.0,2.7781512503836434,5.556302500767287,0.6020599913279624,1.2041199826559248
0.7781512503836436,2.0,2.041392685158225,4.08278537031645,0.47712125471966244,0.9542425094393249
0.7781512503836436,0.0,2.6020599913279625,5.204119982655925,0.47712125471966244,0.9542425094393249
0.9542425094393249,1.0,2.3010299956639813,4.6020599913279625,2.462397997898956,4.924795995797912
1.0,2.0,2.6020599913279625,5.204119982655925,2.1818435879447726,4.363687175889545
1.0,1.0,2.6020599913279625,5.204119982655925,0.0,0.0
1.0,2.0,2.6989700043360187,5.3979400086720375,2.7573960287930244,5.514792057586049
1.1139433523068367,1.0,2.0211892990699383,4.0423785981398765,0.9542425094393249,1.9084850188786497
1.2304489213782739,1.0,2.4771212547196626,4.954242509439325,1.2041199826559248,2.4082399653118496
1.2787536009528289,1.0,3.0,6.0,2.0,4.0
1.3010299956639813,2.0,2.9542425094393248,5.9084850188786495,1.6020599913279623,3.2041199826559246
1.3424226808222062,1.0,2.3010299956639813,4.6020599913279625,0.0,0.0
1.3424226808222062,1.0,2.4771212547196626,4.954242509439325,0.0,0.0
1.3617278360175928,2.0,2.591064607026499,5.182129214052998,-0.09691001300805639,-0.1938200260161128
1.3617278360175928,0.0,2.0,4.0,0.9242792860618817,1.8485585721237634
1.3617278360175928,2.0,1.954242509439325,3.90848501887865,0.11394335230683679,0.22788670461367352
1.4313637641589874,2.0,2.2041199826559246,4.408239965311849,0.9242792860618817,1.8485585721237634
1.4451369687133042,2.0,2.0791812460476247,4.158362492095249,1.1430148002540952,2.2860296005081904
1.462397997898956,2.0,2.7866094726486597,5.573218945297318,1.965201701025912,3.9304034020518235
1.4771212547196624,2.0,1.8750612633917,3.7501225267834,1.3010299956639813,2.6020599913279625
1.5185139398778875,2.0,2.4771212547196626,4.954242509439325,1.8512583487190752,3.7025166974381505
1.568201724066995,2.0,2.3010299956639813,4.6020599913279625,0.8450980400142568,1.6901960800285136
1.6232492903979006,1.0,3.0,6.0,2.1760912590556813,4.352182518111363
1.6532125137753437,0.0,2.8750612633917,5.7501225267834,1.861534410859038,3.723068821718076
1.8260748027008264,1.0,2.4771212547196626,4.954242509439325,0.47712125471966244,0.9542425094393249
1.8325089127062364,2.0,2.0,4.0,0.0,0.0
1.863322860120456,2.0,2.3979400086720375,4.795880017344075,1.7075701760979363,3.4151403521958725
1.9242792860618816,1.0,2.7403626894942437,5.480725378988487,0.6989700043360189,1.3979400086720377
2.4345689040341987,1.0,2.6989700043360187,5.3979400086720375,0.0,0.0
2.4983105537896004,1.0,2.6242820958356683,5.248564191671337,3.074450718954591,6.148901437909182
2.4983105537896004,1.0,2.6989700043360187,5.3979400086720375,1.7693773260761385,3.5387546521522757
2.5211380837040362,0.0,2.230448921378274,4.460897842756548,1.1271047983648077,2.2542095967296154
3.0633333589517497,1.0,2.3979400086720375,4.795880017344075,0.9542425094393249,1.9084850188786497
4.177421057483169,1.0,2.845098040014257,5.690196080028514,1.0,2.0
-2.0,2.0,1.9030899869919435,3.806179973983887,0.6020599913279624,1.2041199826559248
-1.0969100130080565,1.0,2.0,4.0,1.919078092376074,3.838156184752148
-0.6989700043360187,1.0,2.2041199826559246,4.408239965311849,0.7781512503836436,1.5563025007672873
-0.1549019599857432,1.0,2.255272505103306,4.510545010206612,1.845098040014257,3.690196080028514
0.25527250510330607,2.0,2.437750562820388,4.875501125640776,2.6314437690131722,5.2628875380263445
0.5440680443502757,1.0,2.3979400086720375,4.795880017344075,1.845098040014257,3.690196080028514
1.0,0.0,2.7634279935629373,5.526855987125875,3.2695129442179165,6.539025888435833
1.1430148002540952,1.0,2.7781512503836434,5.556302500767287,0.3010299956639812,0.6020599913279624
1.3424226808222062,2.0,1.6020599913279623,3.2041199826559246,0.9542425094393249,1.9084850188786497
1.3979400086720377,2.0,2.3010299956639813,4.6020599913279625,0.7781512503836436,1.5563025007672873
1.4913616938342726,2.0,2.0791812460476247,4.158362492095249,1.1760912590556813,2.3521825181113627
1.7708520116421442,1.0,2.792391689498254,5.584783378996508,0.0,0.0
2.041392685158225,1.0,2.3979400086720375,4.795880017344075,0.47712125471966244,0.9542425094393249
2.5440680443502757,1.0,2.3979400086720375,4.795880017344075,1.4771212547196624,2.9542425094393248
