寿命,主要物质组成,坝体体积,坝体长度,0,0.1,0.2,集水区面积,0.3
-2.0,2.0,-0.744727494896694,1.9030899869919435,-1.489454989793388,1.1583624920952467,3.806179973983887,1.7781512503836436,3.5563025007672873
-1.6989700043360187,1.0,-1.0268721464003014,2.113943352306837,-2.053744292800603,1.0870712059065355,4.227886704613674,2.0043213737826426,4.008642747565285
-1.3979400086720375,1.0,-0.38721614328026455,2.0,-0.7744322865605316,1.6127838567197355,4.0,2.4409090820652177,4.8818181641304355
-1.0969100130080565,1.0,-1.136677139879544,2.0,-2.273354279759089,0.8633228601204559,4.0,2.8920946026904804,5.784189205380961
-0.6989700043360187,1.0,-0.638272163982407,2.113943352306837,-1.2765443279648143,1.4756711883244296,4.227886704613674,2.450249108319361,4.900498216638722
-0.6989700043360187,1.0,-0.3467874862246563,2.2041199826559246,-0.6935749724493127,1.8573324964312685,4.408239965311849,1.7075701760979363,3.4151403521958725
-0.5391021572434522,1.0,0.3979400086720376,2.0,0.7958800173440752,2.3979400086720375,4.0,2.2648178230095364,4.529635646019073
-0.4559319556497244,2.0,-1.6989700043360187,1.3010299956639813,-3.3979400086720375,-0.3979400086720376,2.6020599913279625,2.81424759573192,5.62849519146384
-0.3979400086720376,0.0,-0.2218487496163564,2.3010299956639813,-0.44369749923271273,2.0791812460476247,4.6020599913279625,1.7853298350107671,3.5706596700215343
-0.3979400086720376,1.0,-0.2006594505464183,2.3010299956639813,-0.40131890109283663,2.100370545117563,4.6020599913279625,1.8573324964312685,3.714664992862537
-0.1549019599857432,1.0,-0.07058107428570728,2.255272505103306,-0.14116214857141512,2.184691430817599,4.510545010206612,2.8175653695597807,5.635130739119561
-0.1549019599857432,1.0,0.4913616938342727,2.3010299956639813,0.9827233876685453,2.792391689498254,4.6020599913279625,2.724275869600789,5.448551739201578
0.0,2.0,-1.3010299956639813,1.9030899869919435,-2.6020599913279625,0.6020599913279624,3.806179973983887,0.4471580313422192,0.8943160626844379
0.0,0.0,-0.5228787452803376,2.2430380486862944,-1.0457574905606752,1.7201593034059568,4.486076097372589,1.2380461031287955,2.476092206257591
0.0,0.0,0.8450980400142568,2.3010299956639813,1.6901960800285136,3.146128035678238,4.6020599913279625,1.958085848521085,3.91617169704217
0.0,1.0,0.04139268515822508,2.3979400086720375,0.08278537031645007,2.439332693830263,4.795880017344075,1.1760912590556813,2.3521825181113627
0.47712125471966244,0.0,0.0,2.4471580313422194,0.0,2.4471580313422194,4.894316062684439,1.911690158753861,3.8233803175077217
0.5440680443502757,1.0,0.5185139398778874,2.3979400086720375,1.037027879755771,2.916453948549925,4.795880017344075,2.681241237375587,5.362482474751174
0.6989700043360189,1.0,1.0,2.7781512503836434,2.0,3.7781512503836434,5.556302500767287,1.5563025007672873,3.1126050015345745
0.6989700043360189,1.0,-0.2596373105057561,2.0791812460476247,-0.5192746210115123,1.8195439355418688,4.158362492095249,2.705007959333336,5.410015918666672
0.7781512503836436,0.0,0.5314789170422551,2.6020599913279625,1.0629578340845065,3.1335389083702174,5.204119982655925,1.4471580313422192,2.8943160626844384
1.0,2.0,1.0791812460476249,2.6989700043360187,2.1583624920952498,3.7781512503836434,5.3979400086720375,3.092018470752797,6.184036941505594
1.0,1.0,0.414973347970818,2.6020599913279625,0.829946695941636,3.0170333392987803,5.204119982655925,-0.2218487496163564,-0.44369749923271273
1.0,2.0,1.255272505103306,2.6020599913279625,2.510545010206612,3.8573324964312685,5.204119982655925,3.0874264570362855,6.174852914072571
1.146128035678238,0.0,1.380211241711606,2.5440680443502757,2.760422483423212,3.9242792860618816,5.088136088700551,1.8325089127062364,3.665017825412473
1.2304489213782739,1.0,1.1139433523068367,2.4771212547196626,2.2278867046136734,3.591064607026499,4.954242509439325,2.187520720836463,4.375041441672926
1.2787536009528289,1.0,0.3010299956639812,3.0,0.6020599913279624,3.3010299956639813,6.0,3.419955748489758,6.839911496979516
1.3010299956639813,2.0,1.3064250275506875,2.9542425094393248,2.612850055101375,4.260667536990012,5.9084850188786495,2.74350976472843,5.48701952945686
1.3424226808222062,1.0,0.414973347970818,2.3010299956639813,0.829946695941636,2.716003343634799,4.6020599913279625,0.505149978319906,1.0102999566398119
1.3617278360175928,0.0,-0.6989700043360187,2.0,-1.3979400086720375,1.3010299956639813,4.0,1.724275869600789,3.448551739201578
1.3617278360175928,2.0,-0.8538719643217619,2.0,-1.7077439286435239,1.146128035678238,4.0,1.724275869600789,3.448551739201578
1.3617278360175928,2.0,0.3010299956639812,2.591064607026499,0.6020599913279624,2.8920946026904804,5.182129214052998,2.385606273598312,4.771212547196624
1.3979400086720377,2.0,0.38381536598043126,2.3010299956639813,0.7676307319608625,2.6848453616444123,4.6020599913279625,2.3636119798921444,4.727223959784289
1.4313637641589874,2.0,0.0,2.2041199826559246,0.0,2.2041199826559246,4.408239965311849,1.724275869600789,3.448551739201578
1.462397997898956,2.0,1.308991029000164,2.7866094726486597,2.617982058000328,4.095600501648824,5.573218945297318,3.550228353055094,7.100456706110188
1.4913616938342726,2.0,0.3010299956639812,2.0791812460476247,0.6020599913279624,2.380211241711606,4.158362492095249,2.575187844927661,5.150375689855322
1.5440680443502757,0.0,-0.8538719643217619,2.0,-1.7077439286435239,1.146128035678238,4.0,2.645422269349092,5.290844538698184
1.7708520116421442,1.0,1.0791812460476249,2.792391689498254,2.1583624920952498,3.8715729355458786,5.584783378996508,1.0,2.0
1.7993405494535817,1.0,-0.5228787452803376,1.8169038393756602,-1.0457574905606752,1.2940250940953204,3.6338076787513205,1.8976270912904414,3.7952541825808828
1.8260748027008264,1.0,0.414973347970818,2.4771212547196626,0.829946695941636,2.8920946026904804,4.954242509439325,1.6989700043360187,3.3979400086720375
2.041392685158225,1.0,0.07918124604762482,2.3979400086720375,0.15836249209524964,2.4771212547196626,4.795880017344075,1.8920946026904804,3.7841892053809607
2.2068258760318495,1.0,0.3010299956639812,2.4771212547196626,0.6020599913279624,2.7781512503836434,4.954242509439325,2.949877704036875,5.89975540807375
2.5211380837040362,0.0,0.6020599913279624,2.230448921378274,1.2041199826559248,2.832508912706236,4.460897842756548,1.3222192947339193,2.6444385894678386
2.5289167002776547,2.0,2.456366033129043,2.8808135922807914,4.912732066258086,5.337179625409834,5.761627184561583,2.403120521175818,4.806241042351636
2.6893088591236203,2.0,2.3010299956639813,3.0,4.6020599913279625,5.301029995663981,6.0,2.0,4.0
2.808885867359812,1.0,-0.11350927482751812,2.989004615698537,-0.22701854965503626,2.875495340871019,5.978009231397074,1.6720978579357175,3.344195715871435
2.9542425094393248,2.0,-0.36653154442041347,2.0681858617461617,-0.7330630888408293,1.7016543173257481,4.136371723492323,2.760422483423212,5.520844966846424
3.0633333589517497,1.0,0.3010299956639812,2.3979400086720375,0.6020599913279624,2.6989700043360187,4.795880017344075,1.7481880270062005,3.496376054012401
-2.0,1.0,-1.154901959985743,2.0,-2.309803919971486,0.8450980400142568,4.0,1.0413926851582251,2.0827853703164503
-1.0,1.0,-0.8239087409443188,2.1760912590556813,-1.6478174818886375,1.3521825181113625,4.352182518111363,2.807535028068853,5.615070056137706
-0.3979400086720376,1.0,-0.2006594505464183,2.0791812460476247,-0.40131890109283663,1.8785217955012066,4.158362492095249,1.8750612633917,3.7501225267834
0.0,1.0,-1.0,2.3010299956639813,-2.0,1.3010299956639813,4.6020599913279625,1.919078092376074,3.838156184752148
0.17609125905568124,1.0,0.04139268515822508,2.5440680443502757,0.08278537031645007,2.5854607295085006,5.088136088700551,0.8450980400142568,1.6901960800285136
0.7781512503836436,2.0,-0.017728766960431602,2.041392685158225,-0.035457533920863184,2.0236639181977933,4.08278537031645,1.5797835966168101,3.1595671932336202
1.1430148002540952,1.0,-0.3979400086720376,2.7781512503836434,-0.7958800173440752,2.380211241711606,5.556302500767287,1.8976270912904414,3.7952541825808828
1.3424226808222062,1.0,0.6232492903979004,2.4771212547196626,1.246498580795801,3.100370545117563,4.954242509439325,0.8633228601204559,1.7266457202409118
1.3617278360175928,2.0,-0.6989700043360187,1.954242509439325,-1.3979400086720375,1.255272505103306,3.90848501887865,1.724275869600789,3.448551739201578
1.4913616938342726,2.0,1.3222192947339193,2.6020599913279625,2.6444385894678386,3.9242792860618816,5.204119982655925,1.6334684555795864,3.266936911159173
1.8325089127062364,2.0,-0.3979400086720376,2.0,-0.7958800173440752,1.6020599913279623,4.0,0.4913616938342727,0.9827233876685453
2.5440680443502757,1.0,0.2787536009528289,2.3979400086720375,0.557507201905658,2.6766936096248664,4.795880017344075,2.5563025007672873,5.1126050015345745
