寿命,主要物质组成,坝体体积,坝体长度,0,0.1,0.2,年平均流量,0.3
-1.6989700043360187,1.0,-1.0268721464003014,2.113943352306837,-2.053744292800603,1.0870712059065355,4.227886704613674,1.0413926851582251,2.0827853703164503
-1.3979400086720375,1.0,1.187520720836463,2.568201724066995,2.375041441672926,3.755722444903458,5.13640344813399,1.478999131673357,2.9579982633467137
-1.3979400086720375,1.0,-0.38721614328026455,2.0,-0.7744322865605316,1.6127838567197355,4.0,1.4771212547196624,2.9542425094393248
-1.0969100130080565,1.0,-1.136677139879544,2.0,-2.273354279759089,0.8633228601204559,4.0,1.919078092376074,3.838156184752148
-1.0969100130080565,2.0,-0.14266750356873156,2.4771212547196626,-0.2853350071374631,2.3344537511509307,4.954242509439325,2.2041199826559246,4.408239965311849
-1.0,1.0,-0.8239087409443188,2.1760912590556813,-1.6478174818886375,1.3521825181113625,4.352182518111363,1.8388490907372552,3.6776981814745104
-0.6989700043360187,1.0,-0.638272163982407,2.113943352306837,-1.2765443279648143,1.4756711883244296,4.227886704613674,1.4771212547196624,2.9542425094393248
-0.6989700043360187,0.0,0.3010299956639812,2.0791812460476247,0.6020599913279624,2.380211241711606,4.158362492095249,3.198931869932209,6.397863739864418
-0.5391021572434522,1.0,0.3979400086720376,2.0,0.7958800173440752,2.3979400086720375,4.0,1.3010299956639813,2.6020599913279625
-0.3979400086720376,0.0,-0.2218487496163564,2.3010299956639813,-0.44369749923271273,2.0791812460476247,4.6020599913279625,0.8450980400142568,1.6901960800285136
-0.3979400086720376,1.0,-0.2006594505464183,2.0791812460476247,-0.40131890109283663,1.8785217955012066,4.158362492095249,0.9030899869919435,1.806179973983887
-0.3979400086720376,1.0,-0.2006594505464183,2.3010299956639813,-0.40131890109283663,2.100370545117563,4.6020599913279625,0.9030899869919435,1.806179973983887
-0.1549019599857432,1.0,-0.07058107428570728,2.255272505103306,-0.14116214857141512,2.184691430817599,4.510545010206612,1.845098040014257,3.690196080028514
0.0,1.0,0.04139268515822508,2.3979400086720375,0.08278537031645007,2.439332693830263,4.795880017344075,0.3010299956639812,0.6020599913279624
0.0,1.0,-1.0,2.3010299956639813,-2.0,1.3010299956639813,4.6020599913279625,0.9542425094393249,1.9084850188786497
0.17609125905568124,1.0,0.04139268515822508,2.5440680443502757,0.08278537031645007,2.5854607295085006,5.088136088700551,0.0,0.0
0.414973347970818,2.0,1.3979400086720377,2.7596678446896306,2.7958800173440754,4.157607853361668,5.519335689379261,3.2695129442179165,6.539025888435833
0.47712125471966244,1.0,0.5185139398778874,2.3979400086720375,1.037027879755771,2.916453948549925,4.795880017344075,2.5888317255942073,5.1776634511884145
0.47712125471966244,1.0,1.6989700043360187,2.929418925714293,3.3979400086720375,4.628388930050312,5.858837851428586,3.5873741720730656,7.174748344146131
0.47712125471966244,1.0,1.4771212547196624,2.81424759573192,2.9542425094393248,4.291368850451582,5.62849519146384,3.5873741720730656,7.174748344146131
0.6989700043360189,1.0,1.0,2.7781512503836434,2.0,3.7781512503836434,5.556302500767287,0.6020599913279624,1.2041199826559248
0.7781512503836436,0.0,0.5314789170422551,2.6020599913279625,1.0629578340845065,3.1335389083702174,5.204119982655925,0.47712125471966244,0.9542425094393249
0.7781512503836436,2.0,-0.017728766960431602,2.041392685158225,-0.035457533920863184,2.0236639181977933,4.08278537031645,0.47712125471966244,0.9542425094393249
0.9542425094393249,1.0,1.8325089127062364,2.3010299956639813,3.665017825412473,4.133538908370218,4.6020599913279625,2.462397997898956,4.924795995797912
1.0,2.0,1.255272505103306,2.6020599913279625,2.510545010206612,3.8573324964312685,5.204119982655925,2.1818435879447726,4.363687175889545
1.0,0.0,1.4800069429571505,2.7634279935629373,2.960013885914301,4.243434936520088,5.526855987125875,3.2695129442179165,6.539025888435833
1.0,1.0,0.414973347970818,2.6020599913279625,0.829946695941636,3.0170333392987803,5.204119982655925,0.0,0.0
1.1139433523068367,1.0,-0.585026652029182,2.0211892990699383,-1.170053304058364,1.436162647040756,4.0423785981398765,0.9542425094393249,1.9084850188786497
1.2304489213782739,1.0,1.1139433523068367,2.4771212547196626,2.2278867046136734,3.591064607026499,4.954242509439325,1.2041199826559248,2.4082399653118496
1.2787536009528289,1.0,0.3010299956639812,3.0,0.6020599913279624,3.3010299956639813,6.0,2.0,4.0
1.3010299956639813,2.0,1.3064250275506875,2.9542425094393248,2.612850055101375,4.260667536990012,5.9084850188786495,1.6020599913279623,3.2041199826559246
1.3424226808222062,1.0,0.414973347970818,2.3010299956639813,0.829946695941636,2.716003343634799,4.6020599913279625,0.0,0.0
1.3617278360175928,2.0,-0.6989700043360187,1.954242509439325,-1.3979400086720375,1.255272505103306,3.90848501887865,0.11394335230683679,0.22788670461367352
1.3617278360175928,2.0,0.3010299956639812,2.591064607026499,0.6020599913279624,2.8920946026904804,5.182129214052998,-0.09691001300805639,-0.1938200260161128
1.3617278360175928,0.0,-0.6989700043360187,2.0,-1.3979400086720375,1.3010299956639813,4.0,0.9242792860618817,1.8485585721237634
1.3979400086720377,2.0,0.38381536598043126,2.3010299956639813,0.7676307319608625,2.6848453616444123,4.6020599913279625,0.7781512503836436,1.5563025007672873
1.4451369687133042,2.0,-0.8239087409443188,2.0791812460476247,-1.6478174818886375,1.255272505103306,4.158362492095249,1.1430148002540952,2.2860296005081904
1.462397997898956,2.0,1.308991029000164,2.7866094726486597,2.617982058000328,4.095600501648824,5.573218945297318,1.965201701025912,3.9304034020518235
1.4771212547196624,2.0,0.47712125471966244,1.8750612633917,0.9542425094393249,2.3521825181113627,3.7501225267834,1.3010299956639813,2.6020599913279625
1.4913616938342726,2.0,0.3010299956639812,2.0791812460476247,0.6020599913279624,2.380211241711606,4.158362492095249,1.1760912590556813,2.3521825181113627
1.568201724066995,2.0,-0.2218487496163564,2.3010299956639813,-0.44369749923271273,2.0791812460476247,4.6020599913279625,0.8450980400142568,1.6901960800285136
1.6532125137753437,0.0,2.3010299956639813,2.8750612633917,4.6020599913279625,5.176091259055681,5.7501225267834,1.861534410859038,3.723068821718076
1.7708520116421442,1.0,1.0791812460476249,2.792391689498254,2.1583624920952498,3.8715729355458786,5.584783378996508,0.0,0.0
1.8260748027008264,1.0,0.414973347970818,2.4771212547196626,0.829946695941636,2.8920946026904804,4.954242509439325,0.47712125471966244,0.9542425094393249
1.863322860120456,2.0,0.5440680443502757,2.3979400086720375,1.0881360887005513,2.942008053022313,4.795880017344075,1.7075701760979363,3.4151403521958725
2.041392685158225,1.0,0.07918124604762482,2.3979400086720375,0.15836249209524964,2.4771212547196626,4.795880017344075,0.47712125471966244,0.9542425094393249
2.4983105537896004,1.0,-0.12493873660829995,2.6989700043360187,-0.2498774732165999,2.574031267727719,5.3979400086720375,1.7693773260761385,3.5387546521522757
2.4983105537896004,1.0,-0.040958607678906384,2.6242820958356683,-0.08191721535781282,2.5833234881567617,5.248564191671337,3.074450718954591,6.148901437909182
2.5440680443502757,1.0,0.2787536009528289,2.3979400086720375,0.557507201905658,2.6766936096248664,4.795880017344075,1.4771212547196624,2.9542425094393248
3.0633333589517497,1.0,0.3010299956639812,2.3979400086720375,0.6020599913279624,2.6989700043360187,4.795880017344075,0.9542425094393249,1.9084850188786497
4.177421057483169,1.0,0.5797835966168101,2.845098040014257,1.1595671932336202,3.424881636631067,5.690196080028514,1.0,2.0
-2.0,2.0,-0.744727494896694,1.9030899869919435,-1.489454989793388,1.1583624920952467,3.806179973983887,0.6020599913279624,1.2041199826559248
-1.0969100130080565,2.0,-0.3187587626244128,2.4771212547196626,-0.6375175252488255,2.1583624920952498,4.954242509439325,2.2041199826559246,4.408239965311849
-0.6989700043360187,1.0,-0.3467874862246563,2.2041199826559246,-0.6935749724493127,1.8573324964312685,4.408239965311849,0.7781512503836436,1.5563025007672873
-0.1549019599857432,1.0,0.4913616938342727,2.3010299956639813,0.9827233876685453,2.792391689498254,4.6020599913279625,1.7481880270062005,3.496376054012401
0.25527250510330607,2.0,0.7801732436425942,2.437750562820388,1.5603464872851873,3.2179238064629794,4.875501125640776,2.6314437690131722,5.2628875380263445
0.5440680443502757,1.0,0.5185139398778874,2.3979400086720375,1.037027879755771,2.916453948549925,4.795880017344075,1.845098040014257,3.690196080028514
1.0,2.0,1.0791812460476249,2.6989700043360187,2.1583624920952498,3.7781512503836434,5.3979400086720375,2.7573960287930244,5.514792057586049
1.1430148002540952,1.0,-0.3979400086720376,2.7781512503836434,-0.7958800173440752,2.380211241711606,5.556302500767287,0.3010299956639812,0.6020599913279624
1.3424226808222062,1.0,0.6232492903979004,2.4771212547196626,1.246498580795801,3.100370545117563,4.954242509439325,0.0,0.0
1.4313637641589874,2.0,0.0,2.2041199826559246,0.0,2.2041199826559246,4.408239965311849,0.9242792860618817,1.8485585721237634
1.5185139398778875,2.0,1.3010299956639813,2.4771212547196626,2.6020599913279625,3.7781512503836434,4.954242509439325,1.8512583487190752,3.7025166974381505
1.8325089127062364,2.0,-0.3979400086720376,2.0,-0.7958800173440752,1.6020599913279623,4.0,0.0,0.0
2.5211380837040362,0.0,0.6020599913279624,2.230448921378274,1.2041199826559248,2.832508912706236,4.460897842756548,1.1271047983648077,2.2542095967296154
