寿命,坝体体积,坝体高度,0,0.1,0.2,年平均流量,0.3
-1.698970004,-1.026872146,1.176091259,-2.053744293,0.149219113,2.352182518,1.041392685,2.08278537
-1.397940009,1.187520721,1.643452676,2.375041442,2.830973397,3.286905353,1.478999132,2.957998263
-1.397940009,-0.387216143,1.255272505,-0.774432287,0.868056362,2.51054501,1.477121255,2.954242509
-1.096910013,-1.13667714,0.84509804,-2.27335428,-0.2915791,1.69019608,1.919078092,3.838156185
-1.096910013,-0.318758763,0.903089987,-0.637517525,0.584331224,1.806179974,2.204119983,4.408239965
-1,-0.823908741,1,-1.647817482,0.176091259,2,1.838849091,3.677698181
-0.698970004,-0.346787486,1.397940009,-0.693574972,1.051152522,2.795880017,0.77815125,1.556302501
-0.698970004,0.301029996,1.755874856,0.602059991,2.056904851,3.511749711,3.19893187,6.39786374
-0.539102157,0.397940009,1.903089987,0.795880017,2.301029996,3.806179974,1.301029996,2.602059991
-0.397940009,-0.22184875,1.301029996,-0.443697499,1.079181246,2.602059991,0.84509804,1.69019608
-0.397940009,-0.200659451,1.301029996,-0.401318901,1.100370545,2.602059991,0.903089987,1.806179974
-0.397940009,-0.200659451,1.397940009,-0.401318901,1.197280558,2.795880017,0.903089987,1.806179974
-0.15490196,0.491361694,2.041392685,0.982723388,2.532754379,4.08278537,1.748188027,3.496376054
0,-1,1.301029996,-2,0.301029996,2.602059991,0.954242509,1.908485019
0,0.041392685,1.77815125,0.08278537,1.819543936,3.556302501,0.301029996,0.602059991
0.176091259,0.041392685,1.875061263,0.08278537,1.916453949,3.750122527,0,0
0.414973348,1.397940009,1.785329835,2.795880017,3.183269844,3.57065967,3.269512944,6.539025888
0.477121255,1.477121255,1.886490725,2.954242509,3.36361198,3.77298145,3.587374172,7.174748344
0.477121255,0.146128036,0.954242509,0.292256071,1.100370545,1.908485019,2.093421685,4.18684337
0.477121255,1.698970004,1.903089987,3.397940009,3.602059991,3.806179974,3.587374172,7.174748344
0.544068044,0.51851394,1.903089987,1.03702788,2.421603927,3.806179974,1.84509804,3.69019608
0.698970004,1,2.278753601,2,3.278753601,4.557507202,0.602059991,1.204119983
0.77815125,-0.017728767,1.579783597,-0.035457534,1.56205483,3.159567193,0.477121255,0.954242509
0.77815125,0.531478917,2.146128036,1.062957834,2.677606953,4.292256071,0.477121255,0.954242509
0.954242509,1.832508913,2.243038049,3.665017825,4.075546961,4.486076097,2.462397998,4.924795996
1,0.414973348,2,0.829946696,2.414973348,4,0,0
1,1.255272505,1.698970004,2.51054501,2.954242509,3.397940009,2.181843588,4.363687176
1,1.480006943,1.986771734,2.960013886,3.466778677,3.973543469,3.269512944,6.539025888
1.113943352,-0.585026652,1.568201724,-1.170053304,0.983175072,3.136403448,0.954242509,1.908485019
1.1430148,-0.397940009,2.176091259,-0.795880017,1.77815125,4.352182518,0.301029996,0.602059991
1.230448921,1.113943352,1.903089987,2.227886705,3.017033339,3.806179974,1.204119983,2.408239965
1.278753601,0.301029996,1.812913357,0.602059991,2.113943352,3.625826713,2,4
1.342422681,0.414973348,1.84509804,0.829946696,2.260071388,3.69019608,0,0
1.342422681,0.62324929,1.903089987,1.246498581,2.526339277,3.806179974,0,0
1.361727836,-0.698970004,1.602059991,-1.397940009,0.903089987,3.204119983,0.113943352,0.227886705
1.361727836,-0.698970004,1.176091259,-1.397940009,0.477121255,2.352182518,0.924279286,1.848558572
1.397940009,0.383815366,1.755874856,0.767630732,2.139690222,3.511749711,0.77815125,1.556302501
1.431363764,0,1.602059991,0,1.602059991,3.204119983,0.924279286,1.848558572
1.445136969,-0.823908741,1.397940009,-1.647817482,0.574031268,2.795880017,1.1430148,2.286029601
1.462397998,1.308991029,1.913813852,2.617982058,3.222804881,3.827627705,1.965201701,3.930403402
1.491361694,0.301029996,1.84509804,0.602059991,2.146128036,3.69019608,1.176091259,2.352182518
1.51851394,1.301029996,2,2.602059991,3.301029996,4,1.851258349,3.702516697
1.568201724,-0.22184875,1.301029996,-0.443697499,1.079181246,2.602059991,0.84509804,1.69019608
1.653212514,1.667452953,2.204119983,3.334905906,3.871572936,4.408239965,1.861534411,3.723068822
1.653212514,2.301029996,1.77815125,4.602059991,4.079181246,3.556302501,1.861534411,3.723068822
1.770852012,1.079181246,1.301029996,2.158362492,2.380211242,2.602059991,0,0
1.826074803,0.414973348,1.77815125,0.829946696,2.193124598,3.556302501,0.477121255,0.954242509
1.832508913,-0.397940009,1.602059991,-0.795880017,1.204119983,3.204119983,0,0
2.041392685,0.079181246,1.73239376,0.158362492,1.811575006,3.46478752,0.477121255,0.954242509
2.498310554,-0.040958608,0.954242509,-0.081917215,0.913283902,1.908485019,3.074450719,6.148901438
2.498310554,-0.124938737,1.176091259,-0.249877473,1.051152522,2.352182518,1.769377326,3.538754652
2.521138084,0.602059991,1.84509804,1.204119983,2.447158031,3.69019608,1.127104798,2.254209597
2.762678564,0.301029996,1.698970004,0.602059991,2,3.397940009,0.698970004,1.397940009
3.063333359,0.301029996,1.653212514,0.602059991,1.954242509,3.306425028,0.954242509,1.908485019
4.177421057,0.579783597,1.84509804,1.159567193,2.424881637,3.69019608,1,2
-2,-0.744727495,1,-1.48945499,0.255272505,2,0.602059991,1.204119983
-1.096910013,-0.142667504,0.903089987,-0.285335007,0.760422483,1.806179974,2.204119983,4.408239965
-0.698970004,-0.638272164,1,-1.276544328,0.361727836,2,1.477121255,2.954242509
-0.15490196,-0.070581074,1.698970004,-0.141162149,1.62838893,3.397940009,1.84509804,3.69019608
0.255272505,0.780173244,1.255272505,1.560346487,2.035445749,2.51054501,2.631443769,5.262887538
0.477121255,0.51851394,1.903089987,1.03702788,2.421603927,3.806179974,2.588831726,5.177663451
0.954242509,0.698970004,1.954242509,1.397940009,2.653212514,3.908485019,1.669316881,3.338633761
1,1.079181246,1.301029996,2.158362492,2.380211242,2.602059991,2.757396029,5.514792058
1.301029996,1.306425028,2,2.612850055,3.306425028,4,1.602059991,3.204119983
1.361727836,0.301029996,1.77815125,0.602059991,2.079181246,3.556302501,-0.096910013,-0.193820026
1.477121255,0.477121255,1.84509804,0.954242509,2.322219295,3.69019608,1.301029996,2.602059991
1.653212514,1.658011397,2,3.316022793,3.658011397,4,1.861534411,3.723068822
1.86332286,0.544068044,2.123851641,1.088136089,2.667919685,4.247703282,1.707570176,3.415140352
2.544068044,0.278753601,1.77815125,0.557507202,2.056904851,3.556302501,1.477121255,2.954242509
