寿命,坝体体积,坝体宽度,0,0.1,0.2,集水区面积,0.3
-2.0,-1.154901959985743,2.3521825181113627,-2.309803919971486,1.1972805581256194,4.704365036222725,1.0413926851582251,2.0827853703164503
-1.0,-0.8239087409443188,2.1760912590556813,-1.6478174818886375,1.3521825181113625,4.352182518111363,2.807535028068853,5.615070056137706
-0.3979400086720376,-0.2006594505464183,2.0791812460476247,-0.40131890109283663,1.8785217955012066,4.158362492095249,1.8750612633917,3.7501225267834
0.0,-0.5228787452803376,2.3979400086720375,-1.0457574905606752,1.8750612633917,4.795880017344075,1.2380461031287955,2.476092206257591
0.17609125905568124,0.04139268515822508,2.0969100130080562,0.08278537031645007,2.1383026981662816,4.1938200260161125,0.8450980400142568,1.6901960800285136
0.7781512503836436,0.5314789170422551,2.255272505103306,1.0629578340845103,2.7867514221455614,4.510545010206612,1.4471580313422192,2.8943160626844384
1.0,1.0791812460476249,2.8750612633917,2.1583624920952498,3.9542425094393248,5.7501225267834,3.092018470752797,6.184036941505594
1.3010299956639813,1.3064250275506875,2.7781512503836434,2.612850055101375,4.084576277934331,5.556302500767287,2.74350976472843,5.48701952945686
1.3617278360175928,-0.8538719643217619,1.7781512503836436,-1.7077439286435239,0.9242792860618817,3.5563025007672873,1.724275869600789,3.448551739201578
1.4913616938342726,1.3222192947339193,2.845098040014257,2.6444385894678386,4.1673173347481764,5.690196080028514,1.6334684555795864,3.266936911159173
1.8325089127062364,-0.3979400086720376,2.3010299956639813,-0.7958800173440752,1.9030899869919435,4.6020599913279625,0.4913616938342727,0.9827233876685453
2.5440680443502757,0.2787536009528289,2.6989700043360187,0.557507201905658,2.9777236052888476,5.3979400086720375,2.5563025007672873,5.1126050015345745
2.890421018800914,-0.6989700043360187,2.7403626894942437,-1.3979400086720375,2.041392685158225,5.480725378988487,2.4082399653118496,4.816479930623699
-2.0,-0.744727494896694,2.1760912590556813,-1.489454989793388,1.4313637641589874,4.352182518111363,1.7781512503836436,3.5563025007672873
-1.6989700043360187,-1.0268721464003014,2.113943352306837,-2.053744292800603,1.0870712059065355,4.227886704613674,2.0043213737826426,4.008642747565285
-1.3979400086720375,-0.38721614328026455,2.6532125137753435,-0.774432286560529,2.265996370495079,5.306425027550687,2.4409090820652177,4.8818181641304355
-1.0969100130080565,-1.136677139879544,2.3979400086720375,-2.273354279759088,1.2612628687924936,4.795880017344075,2.8920946026904804,5.784189205380961
-0.6989700043360187,-0.3467874862246563,2.4771212547196626,-0.6935749724493127,2.130333768495006,4.954242509439325,1.7075701760979363,3.4151403521958725
-0.6989700043360187,-0.638272163982407,2.57978359661681,-1.2765443279648143,1.941511432634403,5.15956719323362,2.450249108319361,4.900498216638722
-0.5391021572434522,0.3979400086720376,2.5440680443502757,0.7958800173440752,2.942008053022313,5.088136088700551,2.2648178230095364,4.529635646019073
-0.4559319556497244,-1.6989700043360187,2.113943352306837,-3.3979400086720375,0.414973347970818,4.227886704613674,2.81424759573192,5.62849519146384
-0.3979400086720376,-0.2006594505464183,2.3979400086720375,-0.40131890109283663,2.197280558125619,4.795880017344075,1.8573324964312685,3.714664992862537
-0.3979400086720376,-0.2218487496163564,2.3979400086720375,-0.44369749923271273,2.1760912590556813,4.795880017344075,1.7853298350107671,3.5706596700215343
-0.1549019599857432,-0.07058107428570728,2.4771212547196626,-0.14116214857141451,2.406540180433955,4.954242509439325,2.8175653695597807,5.635130739119561
-0.1549019599857432,0.4913616938342727,2.838849090737255,0.9827233876685453,3.330210784571528,5.67769818147451,2.724275869600789,5.448551739201578
0.0,0.04139268515822508,2.3979400086720375,0.08278537031645007,2.439332693830263,4.795880017344075,1.1760912590556813,2.3521825181113627
0.0,0.8450980400142568,2.9030899869919438,1.6901960800285136,3.7481880270062002,5.8061799739838875,1.958085848521085,3.91617169704217
0.0,-1.0,2.0791812460476247,-2.0,1.0791812460476249,4.158362492095249,1.919078092376074,3.838156184752148
0.0,-1.3010299956639813,1.6989700043360187,-2.6020599913279625,0.3979400086720376,3.3979400086720375,0.4471580313422192,0.8943160626844384
0.47712125471966244,0.0,2.9030899869919438,0.0,2.9030899869919438,5.8061799739838875,1.911690158753861,3.823380317507722
0.5440680443502757,0.5185139398778874,2.5185139398778875,1.037027879755775,3.037027879755775,5.037027879755775,2.681241237375587,5.362482474751174
0.6989700043360189,-0.2596373105057561,2.380211241711606,-0.5192746210115123,2.12057393120585,4.760422483423212,2.705007959333336,5.410015918666672
0.6989700043360189,1.0,2.6989700043360187,2.0,3.6989700043360187,5.3979400086720375,1.5563025007672873,3.1126050015345745
0.7781512503836436,-0.017728766960431602,2.5440680443502757,-0.035457533920863184,2.526339277389844,5.088136088700551,1.5797835966168101,3.1595671932336202
0.9030899869919435,0.17609125905568124,2.6020599913279625,0.3521825181113625,2.7781512503836434,5.204119982655925,1.808210972924222,3.6164219458484443
1.0,1.255272505103306,2.6989700043360187,2.510545010206612,3.9542425094393248,5.3979400086720375,3.0874264570362855,6.174852914072571
1.0,0.414973347970818,2.1760912590556813,0.829946695941636,2.591064607026499,4.352182518111363,-0.2218487496163564,-0.44369749923271273
1.1430148002540952,-0.3979400086720376,2.3010299956639813,-0.7958800173440752,1.9030899869919435,4.6020599913279625,1.8976270912904414,3.7952541825808828
1.146128035678238,1.380211241711606,2.558708570533166,2.760422483423212,3.9389198122447717,5.117417141066332,1.8325089127062364,3.665017825412473
1.2304489213782739,1.1139433523068367,2.845098040014257,2.2278867046136734,3.9590413923210934,5.690196080028514,2.187520720836463,4.375041441672926
1.2787536009528289,0.3010299956639812,2.8129133566428557,0.6020599913279624,3.113943352306837,5.625826713285711,3.419955748489758,6.839911496979516
1.3010299956639813,1.4771212547196624,2.8750612633917,2.9542425094393248,4.352182518111363,5.7501225267834,3.0457140589408676,6.091428117881735
1.3424226808222062,0.6232492903979004,2.5440680443502757,1.246498580795801,3.167317334748176,5.088136088700551,0.8633228601204559,1.7266457202409118
1.3424226808222062,0.414973347970818,2.6532125137753435,0.829946695941636,3.0681858617461617,5.306425027550687,0.505149978319906,1.0102999566398119
1.3617278360175928,-0.6989700043360187,1.9030899869919435,-1.3979400086720375,1.2041199826559248,3.806179973983887,1.724275869600789,3.448551739201578
1.3617278360175928,0.3010299956639812,2.6532125137753435,0.6020599913279624,2.9542425094393248,5.306425027550687,2.385606273598312,4.771212547196624
1.3979400086720377,0.38381536598043126,2.3010299956639813,0.7676307319608625,2.6848453616444123,4.6020599913279625,2.3636119798921444,4.727223959784289
1.4313637641589874,0.0,2.4771212547196626,0.0,2.4771212547196626,4.954242509439325,1.724275869600789,3.448551739201578
1.462397997898956,1.308991029000164,2.9041743682841634,2.617982058000328,4.213165397284327,5.808348736568327,3.550228353055094,7.100456706110188
1.4913616938342726,0.3010299956639812,2.4771212547196626,0.6020599913279624,2.7781512503836434,4.954242509439325,2.575187844927661,5.150375689855322
1.5440680443502757,-0.8538719643217619,2.4771212547196626,-1.7077439286435239,1.6232492903979006,4.954242509439325,2.645422269349092,5.290844538698184
1.7708520116421442,1.0791812460476249,2.845098040014257,2.1583624920952498,3.9242792860618816,5.690196080028514,1.0,2.0
1.8260748027008264,0.414973347970818,2.6989700043360187,0.829946695941636,3.113943352306837,5.3979400086720375,1.6989700043360187,3.3979400086720375
2.041392685158225,0.07918124604762482,2.4771212547196626,0.15836249209524964,2.5563025007672873,4.954242509439325,1.8920946026904804,3.7841892053809607
2.2068258760318495,0.3010299956639812,2.9684829485539352,0.6020599913279624,3.2695129442179165,5.9369658971078705,2.949877704036875,5.89975540807375
2.5211380837040362,0.6020599913279624,2.7403626894942437,1.2041199826559248,3.342422680822206,5.480725378988487,1.3222192947339193,2.6444385894678386
2.5289167002776547,2.456366033129043,3.439332693830263,4.912732066258086,5.8956987269593055,6.878665387660526,2.403120521175818,4.806241042351636
2.5622928644564746,-1.6989700043360187,1.9637878273455553,-3.3979400086720375,0.2648178230095365,3.9275756546911107,1.146128035678238,2.292256071356476
2.6893088591236203,2.3010299956639813,3.4771212547196626,4.6020599913279625,5.778151250383644,6.954242509439325,2.0,4.0
2.762678563727436,0.3010299956639812,2.6989700043360187,0.6020599913279624,3.0,5.3979400086720375,1.6020599913279623,3.2041199826559246
2.808885867359812,-0.11350927482751812,2.255272505103306,-0.22701854965503626,2.141763230275788,4.510545010206612,1.6720978579357175,3.344195715871435
2.9542425094393248,-0.36653154442041347,2.2624510897304293,-0.7330630888408269,1.895919545310016,4.524902179460859,2.760422483423212,5.520844966846424
3.0633333589517497,0.3010299956639812,2.5440680443502757,0.6020599913279624,2.845098040014257,5.088136088700551,1.7481880270062005,3.496376054012401
