稳定性,主要物质组成,坝体体积,坝体高度,坝体宽度,集水区面积,下游河道坡度
1,2,0.17609125,1.30103,2.6532125,1.6106602,0.30103
0,1,0.39794,1.6334685,2.968483,2.9498777,-0.04575749
0,1,1,1.60206,3,2.2227166,0.20411998
1,2,-0.22184876,0.845098,2.7403626,2.4693801,0.07918125
0,0,-0.52287877,1.30103,2.39794,1.238046,0.4913617
0,1,-0.39254498,1,2.4771214,1.9242793,1.2227165
0,2,-0.30103,1,2.531479,1.2552725,0.23044892
1,2,0.5563025,1.4771212,2.845098,1.7839036,0.23044892
0,2,-0.30103,1.30103,2.39794,2.1992066,-0.69897
0,1,0.64097804,1.39794,2.845098,2.4149733,-0.39794
1,2,1.30103,1.60206,3.0681858,2.1364036,0
1,0,-0.82390875,0.60206,2.531479,1.8898617,0.23044892
0,1,-0.39794,0.60206,2.544068,1.4712917,0.3424227
1,0,-1.60206,0.69897,2,0.44715804,0.43136376
0,1,-0.30103,1.30103,2.361728,1.50515,0.17609125
0,2,0,1.4771212,2.672098,0.6232493,0.59106463
1,0,-0.04575749,1.30103,2.39794,1.8976271,0.2787536
0,0,-0.69897,0.90309,2.50515,1.367356,-0.22184876
0,2,-1.2600323,1,2.1760912,2.1031191,-0.22184876
0,1,-0.69897,1,2.361728,1.7323937,0.41497335
1,2,-0.24987747,1.4771212,2.5740314,0.44715804,0.69897
0,2,-0.71669877,0.9542425,2.7781513,0.47712126,0.9242793
1,1,0.69897,1.30103,2.929419,1.1643529,0.9777236
0,1,0.60206,1.7781513,2.6532125,2.4065402,-0.096910015
1,1,0.23678909,1.5502284,2.7596679,1.238046,0.7242759
0,1,-0.30103,1.1760913,2.6532125,1.2455127,0.53147894
1,2,0.38527104,1.8750613,2.5682018,0.79934055,0.5185139
1,2,0.119338386,1.4149734,2.6532125,1.7242758,-0.52287877
1,2,0.159492,1.7403626,2.544068,1.1398791,-0.096910015
1,2,0.23678909,1.60206,2.7596679,0.69897,0.54406804
0,0,-0.66005194,1.243038,2,2.317018,0.60206
1,2,-0.2450786,1.447158,2.5118833,1.2600714,0.041392684
1,2,0.40333503,1.8750613,2.6532125,1.0827854,0
1,1,-1.2218487,0.7781513,2.30103,0.6812412,0.54406804
0,1,0.49485,1.39794,2.4771214,1.8859264,0.14612803
0,2,-0.69897,0.69897,2.60206,2.7824726,-0.52287877
1,2,0.2097664,1.7558749,2.5118833,1.6434526,0.14612803
1,2,0,1.1760913,2.544068,1.3424227,0
1,2,-0.55284196,1.1760913,2.30103,1.1702617,0.43136376
1,2,1.4771212,1.60206,3.0791812,2.0934217,0.041392684
1,1,1.30103,1.90309,3,2.1199155,-0.096910015
0,0,-0.39794,1.30103,2.30103,0.32221928,1
1,1,0.7781513,1.4771212,2.60206,1.5670264,0.07918125
1,2,0.7781513,1.69897,2.7781513,1.9294189,0.041392684
0,1,-0.124938734,1.4771212,2.544068,0.69897,0.81954396
1,2,-0.61978877,1,2.30103,0.11394335,0.5563025
1,1,0.79588,1.39794,3,1.8762178,0.23044892
1,1,0.7781513,2,2.7242758,1.6127839,0.53147894
0,1,-0.52287877,1.0791812,2.4313638,0.845098,0.8920946
0,0,-0.82390875,1,2.4313638,1.0413927,0.07918125
0,1,-0.82390875,1.0791812,2.2552724,1.2787536,0.07918125
1,2,0.17609125,1.60206,2.4771214,0.67209786,0.5563025
0,1,0.92272544,1.4771212,2.7923918,2.1804125,-0.15490197
1,2,-0.03151705,1.1760913,2.4941547,1.3443923,0.3424227
0,2,1.0211893,1.90309,2.942008,2.1682026,0.07918125
0,2,0.30103,1.1760913,2.69897,1.9190781,0.17609125
1,1,0.24303804,1.60206,2.6532125,0.17609125,1.3384565
0,1,1,1.69897,2.929419,1.3222193,0.47712126
1,2,1.230449,1.519828,3.30103,1.9777236,-0.22184876
0,0,0.845098,1.39794,2.90309,1.9580859,0.60206
0,2,0.07918125,1.39794,2.672098,1.5797836,0.2787536
1,2,-0.39794,1.1760913,2.30103,1.1846914,0.54406804
0,2,0.64097804,1.5440681,2.69897,2.5327544,-0.39794
1,2,0.845098,1.30103,2.8129134,1.9590414,-0.22184876
1,1,0,1,2.6532125,1.3138672,0.2787536
1,2,-1.1249387,1,2.2787535,0.6232493,0.41497335
1,2,1.2552725,1.60206,3.0413928,1.9698817,0
1,1,0.30103,1.1760913,2.9542425,1.2355285,1.3201463
1,1,0.7403627,1.20412,3.1383028,2.3944516,-0.096910015
1,2,0.845098,1.6532125,3,1.2900347,0.7781513
1,1,1.30103,1.69897,3.2552724,1.6106602,0.80618
1,2,0.90309,1.30103,2.9542425,1.462398,0.60206
1,1,1.3617278,1.845098,3.0606978,2.2787535,-0.30103
1,2,1.60206,1.4771212,3.50515,1.8639174,0.54406804
1,1,1.3758464,1.7781513,2.90309,2.0538464,-0.22184876
1,2,-0.07058107,1.30103,2.6812413,2.765445,0
1,2,2.0791812,2,3.3802114,2.2725377,0.041392684
1,1,1,1.69897,2.8129134,1.2855573,0.50514996
1,2,1.60206,1.6532125,3.230449,1.6063814,0.7558749
1,2,0.845098,1.4771212,3.0413928,0.9294189,0.5185139
1,2,0.47712126,1.4771212,2.69897,2.0802655,0.07918125
0,1,-1.1249387,0.69897,2.1760912,0.748188,1.2741579
0,0,0,1,2.544068,0.60206,0.5797836
1,2,0.60206,1.30103,2.845098,3.3865168,-0.52287877
0,0,0.47712126,1.1760913,3,1.5263393,0.30103
1,2,-0.15490197,1.1760913,2.4913616,0.30103,0.81291336
0,1,0.39794,0.69897,2.9777236,1.7611759,-0.69897
1,2,0.69897,1.60206,2.90309,2.067443,0.8325089
1,2,0.25072488,1.7781513,2.6766937,-0.15490197,0.63346845
0,0,-0.52287877,1.1760913,2.3222194,1.6232493,0.041392684
0,1,-1.0457575,1,2.0606978,1.6232493,0.041392684
0,2,0.6532125,1.39794,2.6532125,2.0289776,-0.04575749
0,1,0,1,2.7781513,1.9867717,0.4913617
0,2,-1,1.1760913,2,0.11394335,0.9777236
1,2,-0.22184876,1.30103,2.1760912,1.1205739,-0.30103
1,2,0.78354627,1.90309,2.8293037,0.96378785,0.44715804
0,1,0.17609125,0.845098,2.90309,2.3479152,0.5563025
1,1,0.30103,1.30103,2.69897,0.98227125,0.23044892
0,1,0.2552725,1.4771212,2.4393327,2.0326188,0.041392684
0,1,-0.31875876,1.30103,2.50515,1.367356,0.54406804
1,2,0.60206,1.30103,2.929419,1.2479733,0.07918125
1,1,0.845098,1.4771212,2.845098,1.6785184,0.07918125
1,2,1.1760913,2,2.7923918,2.195346,0.36172783
0,1,0,0.69897,3.1760912,2.9008584,0.83884907
0,0,-1.1249387,1,2.0413928,0.9542425,1.0086001
0,1,-0.52287877,1.30103,2.2787535,1.3891661,0.2787536
0,1,-0.82390875,1,2.2552724,1.9415114,0.53147894
0,1,0.17609125,0.90309,2.9542425,2.114611,0.32221928
0,2,-0.39794,1,2.7781513,2.4978967,0.14612803
0,2,0.54406804,1.4771212,2.9542425,0.85125834,0.81954396
0,0,0,1.1760913,2.90309,1.9116901,0.07918125
0,2,-0.40823996,1.69897,2.09691,1.9537597,0.07918125
0,1,1,1.60206,3,2.2227166,0.20411998
0,2,-1,1,2.1139433,2.3802114,0.041392684
0,2,-1,0.9542425,2.20412,0.6532125,0.4913617
0,1,-0.69897,0.69897,2.6812413,1.4183013,1.1303338
0,1,-0.7447275,1.1760913,2.39794,0.9912261,0.67209786
0,1,-0.82390875,1.09691,2.4149733,-0.15490197,0.9912261
0,0,-0.32330638,1.1760913,2.0791812,1.2455127,0.07918125
0,2,-1.60206,0.69897,2.0791812,1.2855573,0.2787536
0,1,0.30103,1.6334685,2.968483,2.9498777,-0.04575749
0,2,-1.30103,1.0791812,1.69897,0.44715804,0.69897
0,0,-1.69897,1.1760913,1.8129133,0.748188,0.2787536
0,0,-2,0.69897,1.845098,1.9590414,-0.096910015
1,1,0.37199092,1.30103,2.69897,2.854306,-0.69897
1,1,1.7583734,1.5440681,2.8750613,1.1903317,0.07918125
1,2,1,1.4771212,3,2.301681,0.14612803
1,2,0.69897,1.4771212,3.1139433,1.9754318,0.44715804
1,2,0.811575,1.4771212,3.0791812,2.3094172,0.11394335
1,2,0.39794,1.4771212,2.7403626,1.8312297,0
1,2,1.1303338,1.60206,3.09691,2.2027607,0.11394335
1,1,1.1760913,1.30103,2.6532125,1.6106602,0.30103
1,2,0.17609125,1.60206,2.50515,1.4149734,0.6532125
1,1,0.39794,1.30103,2.9542425,1.1205739,0.54406804
1,2,1.60206,1.69897,3.2552724,2.1731863,0
1,1,-0.4436975,1.1760913,2.20412,0.9294189,0.39794
1,2,0.41497335,1.30103,2.612784,2.4908009,0.041392684
1,2,1.30103,1.6532125,3,2.7477224,-0.04575749
1,2,-0.39794,1.1760913,2.30103,1.510545,0.20411998
1,1,1,1.5440681,3.146128,1.9818186,0.07918125
