稳定性,坝体体积,坝体高度,集水区面积
0.0,-0.39794,2.1760912,1.8976271
0.0,0.5185139,1.90309,2.6812413
0.0,1.0791812,1.30103,1.0
1.0,0.7701153,0.90309,2.10721
1.0,0.5352941,1.4149734,2.0
0.0,-1.154902,1.0,1.3222193
0.0,-1.39794,0.53147894,1.4313638
0.0,1.30103,1.69897,2.597695
1.0,1.30103,1.39794,2.5465426
0.0,-0.39794,1.0,3.5519376
0.0,1.0791812,1.30103,3.0920184
0.0,-0.85387194,1.0,2.6454222
0.0,0.07918125,1.7781513,2.3541083
0.0,0.30103,1.7781513,2.3856063
0.0,-0.17392519,0.90309,2.5526683
0.0,1.2552725,1.69897,3.0874264
0.0,0.38021123,2.0791812,2.5327544
0.0,0.21748394,1.7781513,3.5098743
0.0,0.67209786,2.0253057,1.462398
0.0,0.17609125,1.7781513,2.4712918
0.0,0.763428,1.8299466,1.8756399
0.0,-0.85387194,1.4771212,1.7242758
0.0,-0.69897,1.60206,1.7242758
0.0,0.0,1.60206,1.7242758
0.0,-0.69897,1.1760913,1.7242758
0.0,0.7259116,1.69897,2.206826
0.0,1.1760913,1.8750613,3.5497386
0.0,0.20411998,1.69897,3.2516382
0.0,1.3089911,1.9138138,3.5502284
0.0,0.60206,1.4771212,3.1445742
0.0,-0.34678748,1.4771212,2.5774918
0.0,0.30103,1.845098,2.575188
0.0,0.38381538,1.7558749,2.363612
0.0,-0.92081875,1.0,2.7874606
0.0,0.47712126,1.9542425,2.3820171
1.0,2.69897,1.30103,0.7781513
0.0,2.456366,2.4377506,2.4031205
0.0,-0.36653155,1.60206,2.7604225
1.0,1.60206,1.5185139,2.7307823
1.0,-0.39794,1.1760913,1.1760913
0.0,1.3222193,1.9542425,1.6334685
1.0,-0.03151705,1.1760913,1.3424227
1.0,1.30103,1.90309,2.3944516
1.0,0.845098,1.39794,1.9590414
0.0,0.0,0.845098,2.7176704
1.0,1.1003705,1.60206,1.8864907
1.0,0.30103,1.1760913,1.9190781
1.0,0.17609125,1.30103,1.6106602
0.0,-1.09691,0.90309,1.3617278
1.0,1.0791812,1.6532125,1.6127839
1.0,0.92272544,1.4771212,2.178977
0.0,0.6532125,1.69897,1.9294189
1.0,1.9114772,2.0,2.2966652
0.0,0.63346845,1.39794,2.4149733
1.0,0.17609125,1.30103,0.69897
1.0,0.54406804,1.5440681,1.1760913
1.0,0.053078443,1.39794,1.1760913
1.0,0.60206,1.6532125,1.3424227
1.0,-0.39794,1.1760913,1.50515
1.0,1.20412,1.845098,2.3324385
0.0,0.2552725,1.1760913,1.9138138
1.0,2.049218,1.519828,1.9294189
1.0,-0.18708664,1.1760913,1.0413927
1.0,0.90309,1.4771212,2.340444
0.0,0.6414741,1.5185139,2.5327544
0.0,0.39794,1.6334685,2.9498777
1.0,0.6532125,1.39794,2.0293837
1.0,0.47712126,1.1760913,1.5314789
1.0,2.39794,2.4393327,1.7781513
0.0,-1.69897,1.0791812,0.47712126
0.0,1.0,1.60206,2.2227166
0.0,-0.92081875,1.1760913,1.2552725
1.0,0.6884198,1.4771212,1.2787536
0.0,-0.7447275,1.0,1.7781513
0.0,0.41497335,1.7781513,1.69897
0.0,-0.34678748,1.39794,1.7075702
1.0,-0.04575749,0.6532125,2.0413928
1.0,0.30103,1.0,2.0413928
1.0,0.17609125,1.90309,1.2787536
0.0,0.2787536,1.7781513,2.5563025
0.0,0.53147894,2.146128,1.447158
0.0,0.041392684,1.7781513,1.1760913
0.0,0.041392684,1.8750613,0.845098
0.0,0.30103,1.6532125,1.748188
0.0,0.30103,1.69897,1.60206
0.0,-1.0268722,1.1760913,2.0043213
0.0,-1.0,1.30103,1.9190781
0.0,0.41497335,1.845098,0.50514996
0.0,1.1139433,1.90309,2.1875207
1.0,0.50514996,1.7403626,1.2552725
0.0,-0.39794,1.60206,0.4913617
0.0,-0.22184876,1.30103,1.7853298
0.0,-0.20065945,1.30103,1.8750613
0.0,-0.20065945,1.39794,1.8573325
1.0,-0.03151705,1.39794,-0.15490197
0.0,0.41497335,2.0,-0.22184876
1.0,1.09691,1.60206,2.0791812
0.0,0.30103,1.8129133,3.4199557
0.0,-0.017728766,1.5797836,1.5797836
0.0,1.0,2.2787535,1.5563025
1.0,0.14612803,1.39794,0.9542425
0.0,1.306425,2.0,2.7435098
0.0,0.07918125,1.7323937,1.8920946
0.0,-0.38721615,1.2552725,2.4409091
0.0,-1.1366771,0.845098,2.8920946
0.0,-0.82390875,1.0,2.807535
0.0,-0.63827217,1.0,2.4502492
0.0,0.39794,1.90309,2.2648177
0.0,0.4913617,2.0413928,2.7242758
0.0,-0.07058107,1.69897,2.8175654
0.0,0.6232493,1.90309,0.86332285
1.0,-0.18708664,1.5440681,0.47712126
1.0,-1.09691,1.60206,0.6812412
1.0,1.4149734,1.60206,2.0791812
0.0,1.3802112,2.0413928,1.8325089
0.0,1.4771212,2.0,3.0457141
1.0,-1.6575773,1.30103,1.161368
1.0,-1.769551,1.0,1.770852
1.0,0.39794,1.69897,1.0
1.0,1.20412,1.4771212,1.5910646
0.0,0.60206,1.845098,1.3222193
0.0,2.30103,2.30103,2.0
0.0,-0.2596373,1.50515,2.705008
0.0,-1.154902,1.0293838,1.0413927
0.0,-0.52287877,0.9542425,1.8976271
1.0,1.5740312,1.39794,2.3521826
0.0,1.8293037,1.8750613,3.2624512
0.0,-0.113509275,0.6532125,1.6720978
0.0,1.4149734,1.7781513,3.07225
1.0,-0.52287877,1.0,1.7160033
0.0,-1.69897,0.6532125,1.6720978
0.0,-1.30103,1.30103,1.6627579
1.0,1.4683473,1.845098,2.4149733
1.0,2.5900836,2.1818435,1.9395193
0.0,-1.69897,1.0791812,1.146128
0.0,-1.69897,1.1760913,2.8142476
0.0,-0.55284196,1.1760913,2.8893018
0.0,-0.36653155,1.0,1.8750613
0.0,-0.9586073,1.39794,2.8920946
0.0,1.2900347,1.7781513,3.4199557
0.0,1.2552725,1.9542425,2.1673174
1.0,1.2552725,1.30103,2.763428
1.0,-0.22184876,0.845098,2.4693801
0.0,-0.52287877,1.30103,1.238046
0.0,-0.39254498,1.0,1.9242793
0.0,-0.30103,1.0,1.2552725
1.0,0.5563025,1.4771212,1.7839036
0.0,-0.30103,1.30103,2.1992066
0.0,0.64097804,1.39794,2.4149733
1.0,1.30103,1.60206,2.1364036
1.0,-0.82390875,0.60206,1.8898617
0.0,-0.39794,0.60206,1.4712917
1.0,0.36810085,1.30103,1.60206
1.0,-1.60206,0.69897,0.44715804
0.0,-0.30103,1.30103,1.50515
0.0,0.0,1.4771212,0.6232493
1.0,-0.04575749,1.30103,1.8976271
0.0,-0.69897,0.90309,1.367356
0.0,-1.2600323,1.0,2.1031191
0.0,-0.69897,1.0,1.7323937
1.0,-0.24987747,1.4771212,0.44715804
1.0,-0.08354605,1.4771212,-0.22184876
0.0,-0.71669877,0.9542425,0.47712126
1.0,1.7147293,1.30103,0.43136376
1.0,0.69897,1.30103,1.1643529
0.0,0.60206,1.7781513,2.4065402
1.0,0.23678909,1.5502284,1.238046
0.0,-0.69897,1.0,2.40824
0.0,-0.30103,1.1760913,1.2455127
1.0,0.38527104,1.8750613,0.79934055
1.0,0.119338386,1.4149734,1.7242758
1.0,0.159492,1.7403626,1.1398791
1.0,1.0334238,1.7781513,0.7781513
1.0,0.23678909,1.60206,0.69897
0.0,-0.66005194,1.243038,2.317018
1.0,-0.2450786,1.447158,1.2600714
1.0,0.40333503,1.8750613,1.0827854
1.0,-1.2218487,0.7781513,0.6812412
0.0,0.49485,1.39794,1.8859264
0.0,-0.69897,0.69897,2.7824726
1.0,0.2097664,1.7558749,1.6434526
1.0,0.0,1.1760913,1.3424227
1.0,-0.55284196,1.1760913,1.1702617
1.0,1.4771212,1.60206,2.0934217
1.0,1.30103,1.90309,2.1199155
0.0,-0.39794,1.30103,0.32221928
1.0,0.7781513,1.4771212,1.5670264
1.0,0.7781513,1.69897,1.9294189
0.0,-0.124938734,1.4771212,0.69897
1.0,-0.61978877,1.0,0.11394335
1.0,0.79588,1.39794,1.8762178
1.0,0.7781513,2.0,1.6127839
0.0,-0.52287877,1.0791812,0.845098
0.0,-0.82390875,1.0,1.0413927
0.0,-0.82390875,1.0791812,1.2787536
1.0,0.17609125,1.60206,0.67209786
0.0,0.92272544,1.4771212,2.1804125
1.0,-0.03151705,1.1760913,1.3443923
0.0,1.0211893,1.90309,2.1682026
0.0,0.30103,1.1760913,1.9190781
1.0,0.24303804,1.60206,0.17609125
0.0,1.20412,1.845098,2.3320343
0.0,1.0,1.69897,1.3222193
1.0,1.230449,1.519828,1.9777236
0.0,0.845098,1.39794,1.9580859
0.0,0.07918125,1.39794,1.5797836
1.0,-0.18708664,1.1760913,1.049218
1.0,-0.39794,1.1760913,1.1846914
0.0,0.64097804,1.5440681,2.5327544
0.0,0.17609125,1.60206,1.808211
1.0,1.1003705,1.60206,1.8847953
1.0,0.845098,1.30103,1.9590414
1.0,0.0,1.0,1.3138672
1.0,-1.1249387,1.0,0.6232493
1.0,1.2552725,1.60206,1.9698817
1.0,0.30103,1.1760913,1.2355285
1.0,0.7403627,1.20412,2.3944516
1.0,0.845098,1.6532125,1.2900347
1.0,1.30103,1.69897,1.6106602
1.0,0.90309,1.30103,1.462398
1.0,1.3617278,1.845098,2.2787535
1.0,1.60206,1.4771212,1.8639174
1.0,1.3758464,1.7781513,2.0538464
1.0,-0.07058107,1.30103,2.765445
1.0,2.0791812,2.0,2.2725377
1.0,1.0,1.69897,1.2855573
1.0,1.60206,1.6532125,1.6063814
1.0,0.845098,1.4771212,0.9294189
1.0,1.30103,1.60206,1.2355285
1.0,0.47712126,1.4771212,2.0802655
0.0,-1.1249387,0.69897,0.748188
0.0,0.0,1.0,0.60206
1.0,0.60206,1.30103,3.3865168
0.0,0.47712126,1.1760913,1.5263393
1.0,-0.15490197,1.1760913,0.30103
0.0,0.39794,0.69897,1.7611759
1.0,0.69897,1.60206,2.067443
0.0,-0.52287877,1.1760913,1.6232493
0.0,-1.0457575,1.0,1.6232493
0.0,0.6532125,1.39794,2.0289776
0.0,0.0,1.0,1.9867717
